experiment,tag,bin_size,Hz,day
stationarity 2 - 22-12-2023,16,0.143478639872051,6.96967855906469,22-12-2023
stationarity 2 - 22-12-2023,17,0.144666373100079,6.91245642349937,22-12-2023
stationarity 2 - 22-12-2023,18,0.143899475361084,6.94929566275848,22-12-2023
stationarity 2 - 22-12-2023,19,0.144865316824174,6.90296353828928,22-12-2023
stationarity 2 - 22-12-2023,20,0.14347776809566,6.96972090709744,22-12-2023
stationarity 2 - 22-12-2023,21,0.147773788048078,6.76709999255518,22-12-2023
stationarity 2 - 22-12-2023,22,0.146358540898116,6.83253600277504,22-12-2023
stationarity 2 - 22-12-2023,23,0.147793351265084,6.76620424017849,22-12-2023
stationarity 2 - 22-12-2023,24,0.146489759693163,6.82641573100126,22-12-2023
stationarity 2 - 22-12-2023,25,0.143958005379504,6.94647023876016,22-12-2023
stationarity 2 - 22-12-2023,32,0.146670525347879,6.81800244205959,22-12-2023
stationarity 2 - 22-12-2023,33,0.145093474438582,6.89210871728971,22-12-2023
stationarity 2 - 22-12-2023,40,0.146590382736491,6.82172992069735,22-12-2023
stationarity 2 - 22-12-2023,41,0.147176049882754,6.79458377090999,22-12-2023
stationarity 2 - 22-12-2023,42,0.143919580257856,6.9483248784379,22-12-2023
stationarity 2 - 22-12-2023,43,0.144498683152437,6.92047829214513,22-12-2023
stationarity 2 - 22-12-2023,44,0.146213143799275,6.83933040502038,22-12-2023
stationarity 2 - 22-12-2023,45,0.148071942355135,6.75347391338734,22-12-2023
stationarity 2 - 22-12-2023,46,0.147701077230101,6.770431324899,22-12-2023
stationarity 2 - 22-12-2023,47,0.143095652124156,6.98833252552185,22-12-2023
stationarity 2 - 22-12-2023,48,0.145641909775536,6.86615550112743,22-12-2023
stationarity 2 - 22-12-2023,49,0.14272916648123,7.00627646509453,22-12-2023
stationarity 2 - 22-12-2023,56,0.143213912922403,6.98256181675467,22-12-2023
stationarity 2 - 22-12-2023,57,0.145644818501097,6.86601837464249,22-12-2023
stationarity 2 - 22-12-2023,64,0.144396491218031,6.92537603625043,22-12-2023
stationarity 2 - 22-12-2023,65,0.146103907647819,6.84444390365303,22-12-2023
stationarity 2 - 22-12-2023,66,0.142503896110502,7.01735199734168,22-12-2023
stationarity 2 - 22-12-2023,67,0.145565870902266,6.86974215729046,22-12-2023
stationarity 2 - 22-12-2023,68,0.150286757891581,6.65394618946677,22-12-2023
stationarity 2 - 22-12-2023,69,0.143957167863846,6.94651065201419,22-12-2023
stationarity 2 - 22-12-2023,70,0.148779385128677,6.72136129030993,22-12-2023
stationarity 2 - 22-12-2023,71,0.145248896867326,6.88473387108354,22-12-2023
stationarity 2 - 22-12-2023,72,0.148425608524016,6.73738184363376,22-12-2023
stationarity 2 - 22-12-2023,73,0.0930927077412537,10.741979949487,22-12-2023
stationarity 2 - 22-12-2023,75,,,22-12-2023
stationarity 2 - 22-12-2023,80,0.15167188930072,6.59317955759949,22-12-2023
stationarity 2 - 22-12-2023,81,0.34787076257043,2.87463077555286,22-12-2023
stationarity 2 - 22-12-2023,82,0.149685792367098,6.68066076403259,22-12-2023
stationarity 2 - 22-12-2023,83,0.145047577047138,6.89428958661624,22-12-2023
stationarity 2 - 22-12-2023,84,0.144741424889342,6.90887215435747,22-12-2023
stationarity 2 - 22-12-2023,85,0.147061662230777,6.79986874098258,22-12-2023
stationarity 2 - 22-12-2023,86,0.146586821106854,6.8218956687181,22-12-2023
stationarity 2 - 22-12-2023,87,0.145186067047994,6.88771326569121,22-12-2023
stationarity 2 - 22-12-2023,88,0.146078083508821,6.84565388578374,22-12-2023
stationarity 3 - 22-12-2023,1,0.145382113788401,6.87842523362582,22-12-2023
stationarity 3 - 22-12-2023,2,0.145242779693879,6.88502383462814,22-12-2023
stationarity 3 - 22-12-2023,3,0.14232183915129,7.02632853793429,22-12-2023
stationarity 3 - 22-12-2023,4,0.148691597627691,6.7253295811906,22-12-2023
stationarity 3 - 22-12-2023,5,0.142617360588932,7.01176908526806,22-12-2023
stationarity 3 - 22-12-2023,6,0.14158311347324,7.06298919036703,22-12-2023
stationarity 3 - 22-12-2023,7,0.144119068886835,6.93870705468699,22-12-2023
stationarity 3 - 22-12-2023,8,0.145883952933663,6.85476352875304,22-12-2023
stationarity 3 - 22-12-2023,9,0.145853127767471,6.85621224108589,22-12-2023
stationarity 3 - 22-12-2023,16,0.148161913565572,6.74937287143928,22-12-2023
stationarity 3 - 22-12-2023,17,0.145508137361482,6.8724678779698,22-12-2023
stationarity 3 - 22-12-2023,24,0.14199911737905,7.042297293515,22-12-2023
stationarity 3 - 22-12-2023,25,0.141719823786866,7.05617586361039,22-12-2023
stationarity 3 - 22-12-2023,26,0.144534591073296,6.91875898062965,22-12-2023
stationarity 3 - 22-12-2023,27,0.143727678486279,6.95760211625115,22-12-2023
stationarity 3 - 22-12-2023,28,0.144132497807966,6.93806057071418,22-12-2023
stationarity 3 - 22-12-2023,29,0.14634545434605,6.83314698409006,22-12-2023
stationarity 3 - 22-12-2023,30,0.146515013631416,6.82523910154131,22-12-2023
stationarity 3 - 22-12-2023,31,0.147148994684655,6.79583304081031,22-12-2023
stationarity 3 - 22-12-2023,32,0.147350732441787,6.78652887181993,22-12-2023
stationarity 3 - 22-12-2023,33,0.145966455056682,6.85088912799639,22-12-2023
stationarity 3 - 22-12-2023,40,0.145461607754715,6.87466621217505,22-12-2023
stationarity 3 - 22-12-2023,41,0.14430134520937,6.92994232693451,22-12-2023
stationarity 3 - 22-12-2023,42,0.146736554047577,6.81493446871983,22-12-2023
stationarity 3 - 22-12-2023,43,0.1445615454397,6.91746893655838,22-12-2023
stationarity 3 - 22-12-2023,44,0.144391928232304,6.92559488776378,22-12-2023
stationarity 3 - 22-12-2023,45,0.144550359506401,6.91800424028497,22-12-2023
